,Date,Open,High,Low,Close
23609,18889.333333333332,8.818,8.854,8.687000000000001,8.844
23610,18889.375,8.844,8.881,8.777000000000001,8.845
23611,18889.416666666668,8.847999999999999,8.86,8.75,8.805
23612,18889.458333333332,8.802,8.868,8.75,8.844
23613,18889.5,8.847999999999999,8.859,8.746,8.845
23614,18889.541666666668,8.847999999999999,8.995,8.847999999999999,8.937000000000001
23615,18889.583333333332,8.94,9.185,8.94,9.138
23616,18889.625,9.131,9.283999999999999,9.052,9.248
23617,18889.666666666668,9.245,9.32,9.08,9.106
23618,18889.708333333332,9.095,9.3,9.042,9.298
23619,18889.75,9.297,9.4,8.76,8.965
23620,18889.791666666668,8.961,9.5,8.891,9.456
23621,18889.833333333332,9.453,9.738999999999999,9.445,9.559
23622,18889.875,9.559,9.84,9.513,9.682
23623,18889.916666666668,9.682,9.937999999999999,9.651,9.89
23624,18889.958333333332,9.894,10.4,9.886000000000001,10.16
23625,18890.0,10.158,10.166,9.814,9.964
23626,18890.041666666668,9.967,10.046,9.762,9.771
23627,18890.083333333332,9.769,9.963,9.63,9.686
23628,18890.125,9.685,9.86,9.657,9.754
23629,18890.166666666668,9.75,9.902999999999999,9.594,9.901
23630,18890.208333333332,9.9,9.971,9.415,9.605
23631,18890.25,9.6,10.075,9.505,10.061
23632,18890.291666666668,10.059,10.439,9.651,10.237
23633,18890.333333333332,10.238,10.28,9.835,9.898
23634,18890.375,9.892999999999999,9.958,9.238,9.291
23635,18890.416666666668,9.294,9.623,9.001,9.25
23636,18890.458333333332,9.247,9.6,8.971,9.318999999999999
23637,18890.5,9.312000000000001,9.357000000000001,9.02,9.095
23638,18890.541666666668,9.099,9.171,8.646,8.76
23639,18890.583333333332,8.762,8.844,8.2,8.451
23640,18890.625,8.454,8.591000000000001,8.346,8.468
23641,18890.666666666668,8.464,8.522,8.263,8.283
23642,18890.708333333332,8.283,8.546,8.177,8.338
23643,18890.75,8.339,8.363,7.825,8.181000000000001
23644,18890.791666666668,8.176,8.277999999999999,7.353,7.992999999999999
23645,18890.833333333332,7.995,8.379,7.77,8.267000000000001
23646,18890.875,8.266,8.275,8.02,8.094
23647,18890.916666666668,8.09,8.17,7.926,8.024
23648,18890.958333333332,8.021,8.305,8.001,8.127
23649,18891.0,8.128,8.176,8.039,8.106
23650,18891.041666666668,8.111,8.129,7.724,7.797000000000001
23651,18891.083333333332,7.7989999999999995,7.854,7.582999999999999,7.794
23652,18891.125,7.794,7.898,7.644,7.7410000000000005
23653,18891.166666666668,7.742000000000001,7.901,7.718999999999999,7.777
23654,18891.208333333332,7.784,8.01,7.675,7.724
23655,18891.25,7.724,7.84,7.51,7.693
23656,18891.291666666668,7.686,7.723,7.067,7.273
23657,18891.333333333332,7.273,7.739,7.2620000000000005,7.6579999999999995
23658,18891.375,7.662999999999999,7.975,7.632999999999999,7.84
23659,18891.416666666668,7.834,7.919,7.601,7.626
23660,18891.458333333332,7.636,7.6979999999999995,7.47,7.511
23661,18891.5,7.5120000000000005,7.57,7.271,7.438
23662,18891.541666666668,7.438,7.687,7.436,7.596
23663,18891.583333333332,7.595,7.898,7.595,7.879
23664,18891.625,7.879,7.946000000000001,7.77,7.821000000000001
23665,18891.666666666668,7.825,7.944,7.705,7.732
23666,18891.708333333332,7.733,7.932,7.67,7.921
23667,18891.75,7.925,8.0,7.797999999999999,7.831
23668,18891.791666666668,7.832000000000001,7.903,7.667000000000001,7.766
23669,18891.833333333332,7.765,7.82,7.577000000000001,7.664
23670,18891.875,7.666,7.686,7.3629999999999995,7.4510000000000005
23671,18891.916666666668,7.445,7.58,7.3870000000000005,7.5089999999999995
23672,18891.958333333332,7.507999999999999,7.619,7.334,7.349
23673,18892.0,7.352,7.403,7.143,7.172999999999999
23674,18892.041666666668,7.172999999999999,7.38,7.1610000000000005,7.211
23675,18892.083333333332,7.212000000000001,7.229,7.13,7.14
23676,18892.125,7.14,7.224,6.672000000000001,6.7010000000000005
23677,18892.166666666668,6.697,6.89,6.337999999999999,6.787000000000001
23678,18892.208333333332,6.782,6.879,6.579,6.596
23679,18892.25,6.596,6.756,6.5520000000000005,6.7010000000000005
23680,18892.291666666668,6.704,6.877999999999999,6.523,6.69
23681,18892.333333333332,6.687,7.157,6.614,7.0489999999999995
23682,18892.375,7.044,7.08,6.945,6.9639999999999995
23683,18892.416666666668,6.962000000000001,7.056,6.917999999999999,6.931
23684,18892.458333333332,6.931,6.9479999999999995,6.684,6.73
23685,18892.5,6.733,6.871,6.733,6.827000000000001
23686,18892.541666666668,6.8260000000000005,7.004,6.724,6.9879999999999995
23687,18892.583333333332,6.987,7.007999999999999,6.9,6.965
